School Name,Region,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,In State Tuition,Out of State Tuition
"American University, Washington D.C.",Southern,"$45,300.00 ","$90,800.00 ","$45,200.00 ","$62,400.00 ","$134,000.00 ","$169,000.00 ",N/A,N/A
University of Tulsa,Southern,"$42,400.00 ","$88,700.00 ","$42,300.00 ","$60,300.00 ","$120,000.00 ","$197,000.00 ",52625,52625
Baylor University,Southern,"$48,300.00 ","$88,600.00 ","$46,300.00 ","$60,700.00 ","$130,000.00 ","$200,000.00 ",58322,58322
University of Florida (UF),Southern,"$47,100.00 ","$87,900.00 ","$45,400.00 ","$62,900.00 ","$120,000.00 ","$172,000.00 ",16501,38778
Louisiana State University (LSU),Southern,"$46,900.00 ","$87,800.00 ","$43,700.00 ","$61,300.00 ","$120,000.00 ","$165,000.00 ",N/A,N/A
George Mason University,Southern,"$47,800.00 ","$86,900.00 ","$51,300.00 ","$67,200.00 ","$114,000.00 ","$150,000.00 ",23922,47382
Clemson University,Southern,"$48,400.00 ","$86,000.00 ","$50,500.00 ","$61,800.00 ","$111,000.00 ","$150,000.00 ",25802,47556
University of Georgia (UGA),Southern,"$44,100.00 ","$86,000.00 ","$43,100.00 ","$57,800.00 ","$118,000.00 ","$164,000.00 ",21868,40442
Auburn University,Southern,"$45,400.00 ","$84,700.00 ","$45,400.00 ","$62,700.00 ","$109,000.00 ","$145,000.00 ",24608,43856
University of Delaware,Southern,"$45,900.00 ","$84,500.00 ","$44,500.00 ","$64,000.00 ","$119,000.00 ","$165,000.00 ",26542,47172
Randolph-Macon College,Southern,"$42,600.00 ","$83,600.00 ",N/A,"$54,100.00 ","$123,000.00 ",N/A,53260,53260
North Carolina State University (NCSU),Southern,"$47,200.00 ","$83,300.00 ","$49,200.00 ","$64,800.00 ","$112,000.00 ","$153,000.00 ",20179,39522
University of Oklahoma,Southern,"$44,700.00 ","$82,900.00 ","$41,200.00 ","$60,300.00 ","$114,000.00 ","$167,000.00 ",22757,38138
University of Arkansas,Southern,"$44,100.00 ","$82,800.00 ","$43,200.00 ","$60,700.00 ","$113,000.00 ","$160,000.00 ",20150,36188
University of Alabama at Huntsville (UAH),Southern,"$43,100.00 ","$82,700.00 ","$46,100.00 ","$67,800.00 ","$106,000.00 ","$132,000.00 ",N/A,N/A
Howard University,Southern,"$46,900.00 ","$81,800.00 ","$43,300.00 ","$60,000.00 ","$109,000.00 ","$138,000.00 ",40951,40951
University of North Carolina at Chapel Hill (UNCH),Southern,"$42,900.00 ","$81,500.00 ","$43,400.00 ","$57,500.00 ","$117,000.00 ","$155,000.00 ",20177,46360
"University of Alabama, Tuscaloosa",Southern,"$41,300.00 ","$81,400.00 ","$40,100.00 ","$56,500.00 ","$117,000.00 ","$161,000.00 ",N/A,N/A
University of Texas at Arlington (UTA),Southern,"$45,400.00 ","$80,800.00 ","$46,400.00 ","$61,200.00 ","$106,000.00 ","$138,000.00 ",20552,35436
Oklahoma State University,Southern,"$42,800.00 ","$80,700.00 ","$40,100.00 ","$56,500.00 ","$114,000.00 ","$151,000.00 ",17568,33088
Tennessee Technological University,Southern,"$46,200.00 ","$80,000.00 ","$42,100.00 ","$62,600.00 ","$99,500.00 ","$121,000.00 ",18839,35495
University of Houston (UH),Southern,"$46,000.00 ","$79,900.00 ","$42,000.00 ","$56,200.00 ","$106,000.00 ","$141,000.00 ",22776,38226
University of Mississippi,Southern,"$41,400.00 ","$79,700.00 ","$40,400.00 ","$53,500.00 ","$108,000.00 ","$186,000.00 ",19356,35310
Lamar University,Southern,"$46,500.00 ","$79,400.00 ","$38,700.00 ","$51,600.00 ","$114,000.00 ","$158,000.00 ",19112,31562
Mississippi State University (MSU),Southern,"$44,500.00 ","$79,300.00 ","$43,300.00 ","$58,800.00 ","$108,000.00 ","$151,000.00 ",18850,33450
University of Kentucky (UK),Southern,"$42,800.00 ","$78,300.00 ","$43,000.00 ","$57,300.00 ","$107,000.00 ","$149,000.00 ",25227,42081
Texas Christian University (TCU),Southern,"$45,100.00 ","$78,100.00 ","$42,600.00 ","$56,600.00 ","$122,000.00 ","$183,000.00 ",59754,59754
West Virginia University (WVU),Southern,"$43,100.00 ","$78,100.00 ","$39,700.00 ","$55,700.00 ","$106,000.00 ","$141,000.00 ",19774,35868
University of Maryland Baltimore County (UMBC),Southern,"$47,000.00 ","$77,800.00 ","$46,900.00 ","$59,100.00 ","$105,000.00 ","$130,000.00 ",N/A,N/A
University of Louisiana (UL) at Lafayette,Southern,"$41,100.00 ","$76,300.00 ","$42,000.00 ","$54,500.00 ","$107,000.00 ","$163,000.00 ",N/A,N/A
Florida International University (FIU),Southern,"$43,200.00 ","$75,500.00 ","$40,500.00 ","$55,800.00 ","$98,200.00 ","$136,000.00 ",17440,29838
University of Tennessee,Southern,"$43,800.00 ","$74,600.00 ","$41,900.00 ","$53,200.00 ","$106,000.00 ","$153,000.00 ",N/A,N/A
University of Arkansas - Monticello (UAM),Southern,"$39,200.00 ","$74,500.00 ",N/A,"$46,100.00 ","$110,000.00 ",N/A,N/A,N/A
University of North Carolina at Charlotte (UNCC),Southern,"$43,100.00 ","$74,000.00 ","$38,200.00 ","$53,200.00 ","$99,500.00 ","$133,000.00 ",18144,31578
Georgia State University,Southern,"$41,800.00 ","$74,000.00 ","$43,000.00 ","$55,300.00 ","$99,900.00 ","$145,000.00 ",22236,40810
LeTourneau University,Southern,"$49,500.00 ","$73,800.00 ","$41,200.00 ","$52,700.00 ","$95,200.00 ","$126,000.00 ",40180,40180
Florida State University (FSU),Southern,"$42,100.00 ","$73,000.00 ","$39,600.00 ","$52,800.00 ","$107,000.00 ","$156,000.00 ",17332,32499
University of Texas at El Paso (UTEP),Southern,"$43,400.00 ","$72,100.00 ","$37,700.00 ","$50,400.00 ","$99,500.00 ","$133,000.00 ",13038,27569
University of Central Florida (UCF),Southern,"$42,600.00 ","$71,700.00 ","$39,500.00 ","$51,500.00 ","$98,400.00 ","$125,000.00 ",15985,32084
University of South Carolina,Southern,"$40,000.00 ","$71,700.00 ","$36,300.00 ","$49,900.00 ","$98,400.00 ","$131,000.00 ",N/A,N/A
Florida Atlantic University (FAU),Southern,"$42,600.00 ","$71,100.00 ","$40,700.00 ","$53,000.00 ","$99,500.00 ","$137,000.00 ",17935,33491
University of South Florida (USF),Southern,"$41,100.00 ","$71,100.00 ","$39,600.00 ","$51,500.00 ","$98,100.00 ","$131,000.00 ",18020,28934
University of Texas at San Antonio (UTSA),Southern,"$42,500.00 ","$70,700.00 ","$39,100.00 ","$49,800.00 ","$92,700.00 ","$121,000.00 ",21478,35840
University of Alabama at Birmingham (UAB),Southern,"$39,200.00 ","$70,100.00 ","$43,000.00 ","$53,400.00 ","$91,400.00 ","$125,000.00 ",17110,31030
University of Memphis (U of M),Southern,"$41,400.00 ","$69,700.00 ","$36,100.00 ","$49,100.00 ","$93,500.00 ","$127,000.00 ",19676,31388
Appalachian State University,Southern,"$40,400.00 ","$69,100.00 ","$37,200.00 ","$50,400.00 ","$90,800.00 ","$115,000.00 ",15518,30325
Virginia Commonwealth University (VCU),Southern,"$42,000.00 ","$68,400.00 ","$37,400.00 ","$51,900.00 ","$100,000.00 ","$123,000.00 ",24918,45566
East Carolina University (ECU),Southern,"$40,200.00 ","$67,500.00 ","$38,400.00 ","$52,000.00 ","$98,700.00 ","$151,000.00 ",16794,33071
Western Carolina University,Southern,"$36,900.00 ","$66,600.00 ","$39,000.00 ","$49,500.00 ","$94,400.00 ","$133,000.00 ",13902,17902
Jacksonville University,Southern,"$46,700.00 ","$66,200.00 ","$36,700.00 ","$47,200.00 ","$88,500.00 ","$121,000.00 ",50750,50750
University of North Carolina at Wilmington (UNCW),Southern,"$37,500.00 ","$64,400.00 ","$32,100.00 ","$46,600.00 ","$97,100.00 ","$129,000.00 ",17686,31751
Oklahoma City University,Southern,"$40,000.00 ","$64,300.00 ",N/A,"$45,400.00 ","$80,600.00 ",N/A,39922,39922
Arkansas State University (ASU),Southern,"$38,700.00 ","$63,300.00 ","$33,600.00 ","$45,300.00 ","$83,900.00 ","$118,000.00 ",16768,23458
Tarleton State University (TSU),Southern,"$40,800.00 ","$62,400.00 ","$32,100.00 ","$47,400.00 ","$80,400.00 ","$126,000.00 ",20877,33212
Morehead State University,Southern,"$34,800.00 ","$60,600.00 ","$34,300.00 ","$46,500.00 ","$72,000.00 ","$91,300.00 ",19130,23606
Mississippi College,Southern,"$35,400.00 ","$60,400.00 ",N/A,"$43,900.00 ","$80,400.00 ",N/A,28326,28326
Dallas Baptist University,Southern,"$39,400.00 ","$60,200.00 ","$38,500.00 ","$50,300.00 ","$81,800.00 ","$98,100.00 ",36862,36862
Austin Peay State University,Southern,"$37,700.00 ","$59,200.00 ","$32,200.00 ","$40,500.00 ","$73,900.00 ","$96,200.00 ",19111,35167
Saint Leo University,Southern,"$40,900.00 ","$57,800.00 ","$34,400.00 ","$41,800.00 ","$80,600.00 ","$113,000.00 ",32850,32850
Tusculum College,Southern,"$36,900.00 ","$55,500.00 ","$36,200.00 ","$43,000.00 ","$87,300.00 ","$124,000.00 ",34050,34050
Virginia Wesleyan College (VWC),Southern,"$34,600.00 ","$54,900.00 ",N/A,"$37,100.00 ","$88,900.00 ",N/A,N/A,N/A
"Lee University (Cleveland, TN)",Southern,"$34,500.00 ","$53,900.00 ",N/A,"$44,500.00 ","$76,800.00 ",N/A,25100,25100
Florida Metropolitan University (FMU),Southern,"$36,600.00 ","$51,000.00 ","$32,800.00 ","$36,800.00 ","$70,400.00 ","$102,000.00 ",N/A,N/A
Dartmouth College,Northeastern,"$58,000.00 ","$134,000.00 ","$63,100.00 ","$90,200.00 ","$234,000.00 ","$321,000.00 ",71209,71209
Princeton University,Northeastern,"$66,500.00 ","$131,000.00 ","$68,900.00 ","$100,000.00 ","$190,000.00 ","$261,000.00 ",65620,65620
Massachusetts Institute of Technology (MIT),Northeastern,"$72,200.00 ","$126,000.00 ","$76,800.00 ","$99,200.00 ","$168,000.00 ","$220,000.00 ",67342,67342
Yale University,Northeastern,"$59,100.00 ","$126,000.00 ","$58,000.00 ","$80,600.00 ","$198,000.00 ","$326,000.00 ",69430,69430
Harvard University,Northeastern,"$63,400.00 ","$124,000.00 ","$54,800.00 ","$86,200.00 ","$179,000.00 ","$288,000.00 ",N/A,N/A
University of Pennsylvania,Northeastern,"$60,900.00 ","$120,000.00 ","$55,900.00 ","$79,200.00 ","$192,000.00 ","$282,000.00 ",71200,71200
"Polytechnic University of New York, Brooklyn",Northeastern,"$62,400.00 ","$114,000.00 ","$66,800.00 ","$94,300.00 ","$143,000.00 ","$190,000.00 ",N/A,N/A
Cooper Union,Northeastern,"$62,200.00 ","$114,000.00 ",N/A,"$80,200.00 ","$142,000.00 ",N/A,N/A,N/A
Worcester Polytechnic Institute (WPI),Northeastern,"$61,000.00 ","$114,000.00 ","$80,000.00 ","$91,200.00 ","$137,000.00 ","$180,000.00 ",65304,65304
Carnegie Mellon University (CMU),Northeastern,"$61,800.00 ","$111,000.00 ","$63,300.00 ","$80,100.00 ","$150,000.00 ","$209,000.00 ",69883,69883
Rensselaer Polytechnic Institute (RPI),Northeastern,"$61,100.00 ","$110,000.00 ","$71,600.00 ","$85,500.00 ","$140,000.00 ","$182,000.00 ",69140,69140
Cornell University,Northeastern,"$60,300.00 ","$110,000.00 ","$56,800.00 ","$79,800.00 ","$160,000.00 ","$210,000.00 ",70004,70004
Bucknell University,Northeastern,"$54,100.00 ","$110,000.00 ","$62,800.00 ","$80,600.00 ","$156,000.00 ","$251,000.00 ",69754,69754
Brown University,Northeastern,"$56,200.00 ","$109,000.00 ","$55,400.00 ","$74,400.00 ","$159,000.00 ","$228,000.00 ",70326,70326
Colgate University,Northeastern,"$52,800.00 ","$108,000.00 ","$60,000.00 ","$76,700.00 ","$167,000.00 ","$265,000.00 ",69865,69865
Columbia University,Northeastern,"$59,400.00 ","$107,000.00 ","$50,300.00 ","$71,900.00 ","$161,000.00 ","$241,000.00 ",74001,74001
Amherst College,Northeastern,"$54,500.00 ","$107,000.00 ",N/A,"$84,900.00 ","$162,000.00 ",N/A,71166,71166
Lafayette College,Northeastern,"$53,900.00 ","$107,000.00 ","$70,600.00 ","$79,300.00 ","$144,000.00 ","$204,000.00 ",68520,68520
Bowdoin College,Northeastern,"$48,100.00 ","$107,000.00 ",N/A,"$74,600.00 ","$146,000.00 ",N/A,68620,68620
College of the Holy Cross,Northeastern,"$50,200.00 ","$106,000.00 ",N/A,"$65,600.00 ","$143,000.00 ",N/A,67290,67290
Stevens Institute of Technology,Northeastern,"$60,600.00 ","$105,000.00 ","$68,700.00 ","$81,900.00 ","$138,000.00 ","$185,000.00 ",67446,67446
Lehigh University,Northeastern,"$59,200.00 ","$105,000.00 ","$69,500.00 ","$85,000.00 ","$160,000.00 ","$229,000.00 ",66530,66530
Swarthmore College,Northeastern,"$49,700.00 ","$104,000.00 ",N/A,"$67,200.00 ","$167,000.00 ",N/A,68062,68062
Boston College,Northeastern,"$52,700.00 ","$103,000.00 ","$48,900.00 ","$70,000.00 ","$143,000.00 ","$195,000.00 ",69942,69942
Williams College,Northeastern,"$51,700.00 ","$102,000.00 ",N/A,"$76,400.00 ","$143,000.00 ",N/A,69950,69950
Villanova University,Northeastern,"$55,800.00 ","$101,000.00 ","$56,800.00 ","$76,200.00 ","$156,000.00 ","$226,000.00 ",67328,67328
Fordham University,Northeastern,"$47,800.00 ","$99,900.00 ","$48,600.00 ","$65,900.00 ","$142,000.00 ","$198,000.00 ",70656,70656
"Wesleyan University (Middletown, Connecticut)",Northeastern,"$46,500.00 ","$97,900.00 ","$42,000.00 ","$62,500.00 ","$126,000.00 ","$215,000.00 ",69974,69974
Wentworth Institute of Technology,Northeastern,"$53,000.00 ","$96,700.00 ","$55,200.00 ","$74,000.00 ","$117,000.00 ","$153,000.00 ",48140,48140
Bates College,Northeastern,"$47,300.00 ","$96,500.00 ",N/A,"$60,700.00 ","$162,000.00 ",N/A,69018,69018
Binghamton University,Northeastern,"$53,600.00 ","$95,900.00 ","$50,900.00 ","$71,200.00 ","$146,000.00 ","$201,000.00 ",N/A,N/A
Union College,Northeastern,"$47,200.00 ","$95,800.00 ","$48,700.00 ","$75,200.00 ","$135,000.00 ","$230,000.00 ",30850,30850
New York University (NYU),Northeastern,"$50,300.00 ","$95,600.00 ","$47,500.00 ","$65,000.00 ","$142,000.00 ","$216,000.00 ",69984,69984
Vassar College,Northeastern,"$46,000.00 ","$94,600.00 ",N/A,"$60,600.00 ","$123,000.00 ",N/A,70510,70510
Middlebury College,Northeastern,"$47,700.00 ","$94,200.00 ",N/A,"$69,100.00 ","$129,000.00 ",N/A,69980,69980
Mount Holyoke College,Northeastern,"$42,400.00 ","$94,200.00 ",N/A,"$57,100.00 ","$131,000.00 ",N/A,64658,64658
Boston University,Northeastern,"$49,000.00 ","$93,900.00 ","$48,000.00 ","$64,900.00 ","$130,000.00 ","$193,000.00 ",69668,69668
Drexel University,Northeastern,"$53,400.00 ","$93,500.00 ","$54,900.00 ","$72,500.00 ","$122,000.00 ","$161,000.00 ",67358,67358
"St. John's University, New York",Northeastern,"$48,000.00 ","$93,400.00 ","$48,000.00 ","$65,400.00 ","$124,000.00 ","$181,000.00 ",N/A,N/A
Long Island University,Northeastern,"$47,300.00 ","$93,200.00 ","$46,300.00 ","$62,100.00 ","$122,000.00 ","$169,000.00 ",N/A,N/A
Stony Brook University,Northeastern,"$49,500.00 ","$93,000.00 ","$47,200.00 ","$67,100.00 ","$129,000.00 ","$181,000.00 ",N/A,N/A
Franklin and Marshall College,Northeastern,"$49,100.00 ","$92,800.00 ",N/A,"$55,800.00 ","$185,000.00 ",N/A,N/A,N/A
Hofstra University,Northeastern,"$46,800.00 ","$92,700.00 ","$48,900.00 ","$67,000.00 ","$135,000.00 ","$189,000.00 ",62708,62708
State University of New York (SUNY) at Albany,Northeastern,"$44,500.00 ","$92,200.00 ","$47,000.00 ","$63,100.00 ","$135,000.00 ","$209,000.00 ",N/A,N/A
Rutgers University,Northeastern,"$50,300.00 ","$91,800.00 ","$48,100.00 ","$65,100.00 ","$128,000.00 ","$176,000.00 ",27680,43988
Pratt Institute,Northeastern,"$43,800.00 ","$89,900.00 ","$48,600.00 ","$65,400.00 ","$123,000.00 ","$155,000.00 ",64492,64492
Pace University,Northeastern,"$53,200.00 ","$89,700.00 ","$44,200.00 ","$65,400.00 ","$129,000.00 ","$187,000.00 ",64480,64480
Seton Hall University,Northeastern,"$48,900.00 ","$89,200.00 ","$55,700.00 ","$70,600.00 ","$133,000.00 ","$195,000.00 ",58270,58270
Rider University,Northeastern,"$43,600.00 ","$88,900.00 ","$47,100.00 ","$63,100.00 ","$127,000.00 ","$150,000.00 ",56010,56010
University of Connecticut (UConn),Northeastern,"$48,000.00 ","$88,800.00 ","$46,100.00 ","$66,400.00 ","$120,000.00 ","$162,000.00 ",,
Providence College,Northeastern,"$48,000.00 ","$88,600.00 ","$42,800.00 ","$62,900.00 ","$138,000.00 ","$194,000.00 ",,
University of Massachusetts (UMass) - Amherst,Northeastern,"$46,600.00 ","$88,200.00 ","$43,100.00 ","$61,300.00 ","$122,000.00 ","$168,000.00 ",,
Ithaca College,Northeastern,"$42,700.00 ","$87,400.00 ","$50,200.00 ","$62,400.00 ","$128,000.00 ","$174,000.00 ",,
University of Massachusetts (UMass) - Lowell,Northeastern,"$45,400.00 ","$86,600.00 ","$50,900.00 ","$65,000.00 ","$113,000.00 ","$158,000.00 ",,
Northeastern University,Northeastern,"$50,500.00 ","$86,400.00 ","$47,100.00 ","$62,700.00 ","$117,000.00 ","$159,000.00 ",,
Syracuse University,Northeastern,"$45,700.00 ","$85,900.00 ","$46,400.00 ","$59,400.00 ","$119,000.00 ","$178,000.00 ",,
Colby College,Northeastern,"$46,400.00 ","$85,800.00 ",N/A,"$63,500.00 ","$129,000.00 ",N/A,,
Gettysburg College,Northeastern,"$44,700.00 ","$85,800.00 ",N/A,"$66,300.00 ","$132,000.00 ",N/A,,
Pennsylvania State University (PSU),Northeastern,"$49,900.00 ","$85,700.00 ","$46,300.00 ","$62,000.00 ","$117,000.00 ","$160,000.00 ",,
University of Rhode Island (URI),Northeastern,"$43,900.00 ","$85,300.00 ","$45,400.00 ","$60,100.00 ","$112,000.00 ","$157,000.00 ",,
Siena College,Northeastern,"$45,500.00 ","$85,200.00 ","$38,700.00 ","$58,400.00 ","$129,000.00 ","$189,000.00 ",,
La Salle University (Philadelphia),Northeastern,"$43,400.00 ","$84,700.00 ","$45,300.00 ","$57,500.00 ","$106,000.00 ","$151,000.00 ",,
Rochester Institute of Technology (RIT),Northeastern,"$48,900.00 ","$84,600.00 ","$45,000.00 ","$62,100.00 ","$112,000.00 ","$159,000.00 ",,
Duquesne University,Northeastern,"$40,700.00 ","$84,400.00 ","$42,600.00 ","$59,500.00 ","$107,000.00 ","$131,000.00 ",,
State University of New York (SUNY) at Farmingdale,Northeastern,"$47,300.00 ","$84,200.00 ","$50,200.00 ","$59,800.00 ","$110,000.00 ","$162,000.00 ",,
Smith College,Northeastern,"$44,000.00 ","$83,900.00 ","$45,100.00 ","$59,800.00 ","$129,000.00 ","$184,000.00 ",,
Hamilton College,Northeastern,"$49,200.00 ","$83,700.00 ",N/A,"$51,900.00 ","$123,000.00 ",N/A,,
Wellesley College,Northeastern,"$42,800.00 ","$83,500.00 ",N/A,"$58,600.00 ","$125,000.00 ",N/A,,
Widener University,Northeastern,"$52,900.00 ","$83,400.00 ","$42,600.00 ","$61,400.00 ","$106,000.00 ","$138,000.00 ",,
University of New Haven,Northeastern,"$44,400.00 ","$82,900.00 ","$48,500.00 ","$66,100.00 ","$113,000.00 ","$157,000.00 ",,
Dowling College,Northeastern,"$41,100.00 ","$82,800.00 ","$46,500.00 ","$60,600.00 ","$117,000.00 ","$142,000.00 ",,
University of Vermont (UVM),Northeastern,"$44,800.00 ","$82,700.00 ","$44,700.00 ","$58,000.00 ","$122,000.00 ","$194,000.00 ",,
State University of New York (SUNY) at Buffalo,Northeastern,"$46,200.00 ","$81,700.00 ","$45,900.00 ","$61,400.00 ","$110,000.00 ","$147,000.00 ",,
State University of New York (SUNY) at Geneseo,Northeastern,"$42,300.00 ","$81,300.00 ","$39,300.00 ","$47,600.00 ","$117,000.00 ","$173,000.00 ",,
Fashion Institute of Technology,Northeastern,"$42,800.00 ","$81,000.00 ","$38,800.00 ","$60,500.00 ","$106,000.00 ","$138,000.00 ",,
Philadelphia University,Northeastern,"$45,100.00 ","$80,300.00 ","$45,800.00 ","$61,900.00 ","$108,000.00 ","$141,000.00 ",,
Ursinus College,Northeastern,"$42,100.00 ","$80,000.00 ","$35,600.00 ","$54,300.00 ","$100,000.00 ","$160,000.00 ",,
Adelphi University,Northeastern,"$40,600.00 ","$79,200.00 ","$44,200.00 ","$54,800.00 ","$114,000.00 ","$160,000.00 ",,
Juniata College,Northeastern,"$41,800.00 ","$78,900.00 ",N/A,"$67,200.00 ","$110,000.00 ",N/A,,
Fairleigh Dickinson University,Northeastern,"$45,700.00 ","$78,700.00 ","$40,200.00 ","$56,300.00 ","$112,000.00 ","$171,000.00 ",,
University of New Hampshire (UNH),Northeastern,"$41,800.00 ","$78,300.00 ","$41,700.00 ","$56,400.00 ","$114,000.00 ","$147,000.00 ",,
University of Massachusetts (UMass) - Boston,Northeastern,"$45,600.00 ","$78,200.00 ","$36,300.00 ","$53,800.00 ","$109,000.00 ","$151,000.00 ",,
State University of New York (SUNY) at Oswego,Northeastern,"$38,000.00 ","$77,800.00 ","$40,400.00 ","$53,000.00 ","$115,000.00 ","$169,000.00 ",,
University of Massachusetts (UMass) - Dartmouth,Northeastern,"$43,200.00 ","$77,700.00 ","$43,300.00 ","$56,200.00 ","$107,000.00 ","$132,000.00 ",,
State University of New York (SUNY) at Oneonta,Northeastern,"$37,500.00 ","$76,700.00 ","$40,000.00 ","$54,300.00 ","$97,700.00 ","$155,000.00 ",,
Quinnipiac University,Northeastern,"$43,000.00 ","$76,500.00 ","$47,900.00 ","$57,400.00 ","$117,000.00 ","$155,000.00 ",,
State University of New York (SUNY) at Plattsburgh,Northeastern,"$40,800.00 ","$76,200.00 ","$38,400.00 ","$54,100.00 ","$105,000.00 ","$136,000.00 ",,
Sacred Heart University,Northeastern,"$46,000.00 ","$75,300.00 ","$39,700.00 ","$54,800.00 ","$105,000.00 ","$150,000.00 ",,
Skidmore College,Northeastern,"$41,600.00 ","$74,600.00 ",N/A,"$42,800.00 ","$147,000.00 ",N/A,,
Moravian College,Northeastern,"$42,500.00 ","$74,400.00 ",N/A,"$56,700.00 ","$94,900.00 ",N/A,,
Penn State - Harrisburg,Northeastern,"$45,700.00 ","$74,000.00 ","$44,000.00 ","$53,100.00 ","$104,000.00 ","$150,000.00 ",,
Suffolk University,Northeastern,"$42,100.00 ","$74,000.00 ","$48,700.00 ","$57,800.00 ","$95,100.00 ","$145,000.00 ",,
Fitchburg State College,Northeastern,"$42,400.00 ","$72,600.00 ","$43,300.00 ","$56,100.00 ","$99,600.00 ","$151,000.00 ",,
Roger Williams University,Northeastern,"$42,000.00 ","$72,300.00 ","$39,800.00 ","$48,500.00 ","$102,000.00 ","$138,000.00 ",,
University Of Maine,Northeastern,"$41,200.00 ","$72,100.00 ","$41,700.00 ","$55,600.00 ","$99,300.00 ","$141,000.00 ",,
State University of New York (SUNY) at Potsdam,Northeastern,"$38,000.00 ","$70,300.00 ","$35,100.00 ","$51,200.00 ","$100,000.00 ","$179,000.00 ",,
Niagara University,Northeastern,"$36,900.00 ","$69,700.00 ","$44,000.00 ","$57,000.00 ","$92,000.00 ","$128,000.00 ",,
State University of New York (SUNY) at Fredonia,Northeastern,"$37,800.00 ","$66,200.00 ","$32,800.00 ","$44,200.00 ","$93,300.00 ","$181,000.00 ",,
University of Southern Maine,Northeastern,"$39,400.00 ","$63,600.00 ","$40,400.00 ","$47,900.00 ","$85,700.00 ","$117,000.00 ",,
Mercy College,Northeastern,"$43,700.00 ","$62,600.00 ","$35,600.00 ","$47,300.00 ","$99,000.00 ","$134,000.00 ",,
